name	genre
Rhye	indie soul
Rhye	indietronica
Rhye	shimmer pop
L'Impératrice	french indie pop
L'Impératrice	french indietronica
L'Impératrice	french synthpop
L'Impératrice	new french touch
Joy Crookes	alternative r&b
Joy Crookes	indie soul
Joy Crookes	uk contemporary r&b
Dido	pop rock
Thundercat	afrofuturism
Beyoncé	dance pop
Beyoncé	pop
Beyoncé	r&b
Miley Cyrus	dance pop
Miley Cyrus	pop
Miley Cyrus	post-teen pop
Flying Steps	NA
Alicia Keys	hip pop
Alicia Keys	neo soul
Alicia Keys	pop
Alicia Keys	r&b
Alicia Keys	urban contemporary
Rone	electronica
Rone	french indie pop
Rone	french indietronica
Rone	minimal techno
Rone	new french touch
Kae Tempest	lgbtq+ hip hop
Kae Tempest	slam poetry
Billie Eilish	art pop
Billie Eilish	electropop
Billie Eilish	pop
Kali Uchis	colombian pop
Kali Uchis	dance pop
Kali Uchis	pop
Monolink	livetronica
Daniela Spalla	indie cordoba
Daniela Spalla	latin rock
Daniela Spalla	mexican indie
I Am Oak	dutch indie
I Am Oak	dutch indie rock
I Am Oak	dutch singer-songwriter
Katy Perry	dance pop
Katy Perry	pop
Katy Perry	post-teen pop
Mick Jenkins	chicago rap
Mick Jenkins	conscious hip hop
Mick Jenkins	drill
Mick Jenkins	escape room
Mick Jenkins	hip hop
Mick Jenkins	rap
Mick Jenkins	underground hip hop
Max Richter	compositional ambient
Max Richter	post-minimalism
Wiener Philharmoniker	austrian orchestra
Wiener Philharmoniker	classical performance
Wiener Philharmoniker	orchestra
Years & Years	dance pop
Years & Years	edm
Years & Years	gauze pop
Years & Years	pop
Years & Years	pop dance
Years & Years	tropical house
Os Tincoãs	bossa nova
Os Tincoãs	mpb
Os Tincoãs	samba
ABBA	europop
ABBA	swedish pop
Nalan	NA
The Pussycat Dolls	dance pop
The Pussycat Dolls	girl group
The Pussycat Dolls	hip pop
The Pussycat Dolls	pop
The Pussycat Dolls	post-teen pop
The Pussycat Dolls	urban contemporary
Theo Parrish	broken beat
Theo Parrish	deep house
Theo Parrish	deep soul house
Theo Parrish	detroit house
Theo Parrish	detroit techno
Theo Parrish	float house
Theo Parrish	jazz house
Theo Parrish	microhouse
Theo Parrish	outsider house
Theo Parrish	techno
Britney Spears	dance pop
Britney Spears	pop
Britney Spears	post-teen pop
Cícero	brazilian rock
Cícero	nova mpb
The xx	downtempo
The xx	dream pop
The xx	indietronica
Nicky Jam	latin
Nicky Jam	latin hip hop
Nicky Jam	reggaeton
Nicky Jam	trap latino
Justin Timberlake	dance pop
Justin Timberlake	pop
James Blake	alternative r&b
James Blake	indie soul
James Blake	uk alternative pop
Crosby, Stills, Nash & Young	album rock
Crosby, Stills, Nash & Young	blues rock
Crosby, Stills, Nash & Young	classic rock
Crosby, Stills, Nash & Young	country rock
Crosby, Stills, Nash & Young	folk
Crosby, Stills, Nash & Young	folk rock
Crosby, Stills, Nash & Young	mellow gold
Crosby, Stills, Nash & Young	psychedelic rock
Crosby, Stills, Nash & Young	rock
Crosby, Stills, Nash & Young	roots rock
Crosby, Stills, Nash & Young	soft rock
Crosby, Stills, Nash & Young	supergroup
Helium Vola	dark wave
Helium Vola	ethereal wave
Helium Vola	medieval folk
Helium Vola	medieval rock
Helium Vola	neoclassical darkwave
Helium Vola	neue deutsche todeskunst
Helium Vola	rune folk
Lily James	hollywood
J Balvin	latin
J Balvin	reggaeton
J Balvin	reggaeton colombiano
J Balvin	trap latino
Glass Animals	gauze pop
Glass Animals	indietronica
Glass Animals	shiver pop
Joan Baez	american folk revival
Joan Baez	folk
Joan Baez	folk rock
Joan Baez	mellow gold
Joan Baez	singer-songwriter
Dua Lipa	dance pop
Dua Lipa	pop
Dua Lipa	uk pop
ChocQuibTown	colombian hip hop
ChocQuibTown	colombian pop
ChocQuibTown	colombian rock
ChocQuibTown	latin
ChocQuibTown	latin alternative
ChocQuibTown	latin pop
ChocQuibTown	reggaeton colombiano
ChocQuibTown	salsa choke
